Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 26
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;00:15;2019-10-01T00:15:00+02:00;3915;834;;7;0;303;-50;81;2727;21.3;25.44;;;0.18;14.58;0.0;0.0;7.74;9.27;2.07;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;02:00;2019-10-01T02:00:00+02:00;3568;567;;4;0;246;-50;83;2706;15.89;17.3;;;0.11;8.33;0.0;0.0;6.89;7.53;2.33;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;03:45;2019-10-01T03:45:00+02:00;3218;551;;3;0;353;-50;88;2261;17.12;16.81;;;0.09;6.25;0.0;0.0;10.97;10.8;2.73;30.03;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;04:45;2019-10-01T04:45:00+02:00;3163;561;;3;0;415;0;79;2090;17.74;17.11;;;0.09;6.25;0.0;0.0;13.12;12.7;2.5;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;07:15;2019-10-01T07:15:00+02:00;3893;860;;1;0;549;0;89;2380;22.09;26.24;;;0.03;2.08;0.0;0.0;14.1;16.8;2.29;30.38;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;07:45;2019-10-01T07:45:00+02:00;3976;877;;1;21;615;0;79;2383;22.06;26.75;;;0.03;2.08;0.53;1.63;15.47;18.82;1.99;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;08:30;2019-10-01T08:30:00+02:00;4079;847;;2;100;615;0;88;2427;20.76;25.84;;;0.05;4.17;2.45;7.75;15.08;18.82;2.16;30.03;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;09:15;2019-10-01T09:15:00+02:00;4203;866;;3;281;642;0;79;2332;20.6;26.42;;;0.07;6.25;6.69;21.78;15.27;19.65;1.88;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;11:30;2019-10-01T11:30:00+02:00;4456;828;;4;659;471;0;78;2417;18.58;25.26;;;0.09;8.33;14.79;51.09;10.57;14.41;1.75;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;11:45;2019-10-01T11:45:00+02:00;4423;824;;5;732;374;0;79;2409;18.63;25.14;;;0.11;10.42;16.55;56.74;8.46;11.44;1.79;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;13:00;2019-10-01T13:00:00+02:00;4515;839;;6;738;237;-50;80;2666;18.58;25.59;;;0.13;12.5;16.35;57.21;5.25;7.25;1.77;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;14:00;2019-10-01T14:00:00+02:00;4589;834;;8;720;205;-50;85;2789;18.17;25.44;;;0.17;16.67;15.69;55.81;4.47;6.27;1.85;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;14:45;2019-10-01T14:45:00+02:00;4459;829;;9;649;202;-50;77;2743;18.59;25.29;;;0.2;18.75;14.55;50.31;4.53;6.18;1.73;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;15:15;2019-10-01T15:15:00+02:00;4370;823;;9;614;198;-51;75;2702;18.83;25.11;;;0.21;18.75;14.05;47.6;4.53;6.06;1.72;25.6;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;16:00;2019-10-01T16:00:00+02:00;4212;827;;8;467;175;-51;78;2708;19.63;25.23;;;0.19;16.67;11.09;36.2;4.15;5.35;1.85;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;16:15;2019-10-01T16:15:00+02:00;4257;886;;9;469;174;-51;79;2689;20.81;27.03;;;0.21;18.75;11.02;36.36;4.09;5.32;1.86;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;17:15;2019-10-01T17:15:00+02:00;4171;828;;9;332;182;0;78;2741;19.85;25.26;;;0.22;18.75;7.96;25.74;4.36;5.57;1.87;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;18:15;2019-10-01T18:15:00+02:00;4158;811;;6;111;195;0;84;2950;19.5;24.74;;;0.14;12.5;2.67;8.6;4.69;5.97;2.02;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;18:45;2019-10-01T18:45:00+02:00;4241;874;;6;35;415;0;86;2826;20.61;26.66;;;0.14;12.5;0.83;2.71;9.79;12.7;2.03;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;19:15;2019-10-01T19:15:00+02:00;4478;842;;4;22;422;0;85;3103;18.8;25.69;;;0.09;8.33;0.49;1.71;9.42;12.91;1.9;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;20:45;2019-10-01T20:45:00+02:00;4180;829;;2;0;416;0;78;2835;19.83;25.29;;;0.05;4.17;0.0;0.0;9.95;12.73;1.87;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;21:15;2019-10-01T21:15:00+02:00;4046;846;;2;0;454;0;79;2645;20.91;25.81;;;0.05;4.17;0.0;0.0;11.22;13.89;1.95;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;21:30;2019-10-01T21:30:00+02:00;3996;827;;2;0;443;0;84;2620;20.7;25.23;;;0.05;4.17;0.0;0.0;11.09;13.56;2.1;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;02:15;2019-10-02T02:15:00+02:00;3640;558;;8;0;246;0;87;2727;15.33;17.02;;;0.22;16.67;0.0;0.0;6.76;7.53;2.39;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;03:00;2019-10-02T03:00:00+02:00;3310;528;;12;0;271;0;85;2401;15.95;16.11;;;0.36;25.0;0.0;0.0;8.19;8.29;2.57;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;06:00;2019-10-02T06:00:00+02:00;3389;477;;17;0;397;0;82;2402;14.07;14.55;;;0.5;35.42;0.0;0.0;11.71;12.15;2.42;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;07:00;2019-10-02T07:00:00+02:00;3823;849;;13;0;450;0;79;2418;22.21;25.9;;;0.34;27.08;0.0;0.0;11.77;13.77;2.07;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;07:30;2019-10-02T07:30:00+02:00;3763;872;;13;13;526;0;83;2256;23.17;26.6;;;0.35;27.08;0.35;1.01;13.98;16.1;2.21;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;08:00;2019-10-02T08:00:00+02:00;3938;888;;13;22;625;0;80;2310;22.55;27.09;;;0.33;27.08;0.56;1.71;15.87;19.12;2.03;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;09:15;2019-10-02T09:15:00+02:00;4158;929;;12;299;711;0;84;2122;22.34;28.34;;;0.29;25.0;7.19;23.18;17.1;21.76;2.02;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;09:45;2019-10-02T09:45:00+02:00;4212;920;;12;452;592;0;82;2154;21.84;28.07;;;0.28;25.0;10.73;35.04;14.06;18.12;1.95;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;10:15;2019-10-02T10:15:00+02:00;4284;933;;14;577;577;0;86;2097;21.78;28.46;;;0.33;29.17;13.47;44.73;13.47;17.66;2.01;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;11:15;2019-10-02T11:15:00+02:00;4440;928;;17;773;634;0;86;2003;20.9;28.31;;;0.38;35.42;17.41;59.92;14.28;19.4;1.94;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;14:30;2019-10-02T14:30:00+02:00;4507;663;;27;919;492;0;82;2325;14.71;20.23;;;0.6;56.25;20.39;71.24;10.92;15.06;1.82;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;15:30;2019-10-02T15:30:00+02:00;4315;668;;33;796;458;0;80;2281;15.48;20.38;;;0.76;68.75;18.45;61.71;10.61;14.01;1.85;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;20:00;2019-10-02T20:00:00+02:00;4546;844;;28;20;668;0;84;2902;18.57;25.75;;;0.62;58.33;0.44;1.55;14.69;20.44;1.85;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;20:30;2019-10-02T20:30:00+02:00;4367;826;;27;0;667;0;80;2752;18.91;25.2;;;0.62;56.25;0.0;0.0;15.27;20.41;1.83;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;22:45;2019-10-02T22:45:00+02:00;3913;870;;42;0;583;0;87;2317;22.23;26.54;;;1.07;87.5;0.0;0.0;14.9;17.84;2.22;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:00;2019-10-02T23:00:00+02:00;4206;855;;40;0;576;0;83;2638;20.33;26.08;;;0.95;83.33;0.0;0.0;13.69;17.63;1.97;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:15;2019-10-02T23:15:00+02:00;4508;841;;46;0;570;0;78;2960;18.66;25.66;;;1.02;95.83;0.0;0.0;12.64;17.44;1.73;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:45;2019-10-02T23:45:00+02:00;4265;854;;46;0;570;0;85;2695;20.02;26.05;;;1.08;95.83;0.0;0.0;13.36;17.44;1.99;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;03:45;2019-10-03T03:45:00+02:00;3235;570;;47;0;351;-51;82;2221;17.62;17.39;;;1.45;97.92;0.0;0.0;10.85;10.74;2.53;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;05:15;2019-10-03T05:15:00+02:00;3284;542;;46;0;361;0;82;2238;16.5;16.53;;;1.4;95.83;0.0;0.0;10.99;11.05;2.5;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:15;2019-10-03T06:15:00+02:00;3494;522;;44;0;380;0;79;2455;14.94;15.92;;;1.26;91.67;0.0;0.0;10.88;11.63;2.26;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:30;2019-10-03T06:30:00+02:00;3626;562;;49;0;370;0;83;2548;15.5;17.14;;;1.35;102.08;0.0;0.0;10.2;11.32;2.29;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:45;2019-10-03T06:45:00+02:00;3796;861;;47;0;377;0;81;2417;22.68;26.27;;;1.24;97.92;0.0;0.0;9.93;11.54;2.13;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;10:30;2019-10-03T10:30:00+02:00;4362;876;;46;650;631;0;78;2080;20.08;26.72;;;1.05;95.83;14.9;50.39;14.47;19.31;1.79;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;12:15;2019-10-03T12:15:00+02:00;4461;808;;37;901;586;0;79;2049;18.11;24.65;;;0.83;77.08;20.2;69.84;13.14;17.93;1.77;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;12:30;2019-10-03T12:30:00+02:00;4461;811;;42;895;597;0;87;2029;18.18;24.74;;;0.94;87.5;20.06;69.38;13.38;18.27;1.95;29.69;
