NOM;SOUS_TYPE;CODE_INSEE;geometry
PARC AUTO AEROPORT P8;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20792306, 43.66670492]}
PARC AUTO MARSHALL;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27573958, 43.70275206]}
PARC AUTO DES PINS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20013968, 43.67727854]}
PARC AUTO CORVESY;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27213, 43.69654415]}
PARC AUTO PALAIS MASSENA;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.25996345, 43.69519501]}
PARC AUTO SAINT LAMBERT;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26334972, 43.71272818]}
PARC AUTO NOTRE DAME;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26702595, 43.70383038]}
PARC AUTO AEROPORT P1 P2 P3 P4 G1;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.21088443, 43.66570931]}
PARC AUTO SULZER;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27109925, 43.69536681]}
PARC AUTO NICE ETOILE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26843645, 43.70099682]}
PARC AUTO JEAN BOUIN;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.28100813, 43.70766887]}
PARC AUTO HALEVY;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26513286, 43.69574901]}
PARC AUTO SALEYA;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27374683, 43.69573495]}
PARC AUTO VALOMBROSE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27933098, 43.72537467]}
PARC AUTO CALIFORNIE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.24049691, 43.68933121]}
PARC AUTO LOUVRE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26445177, 43.69992958]}
PARC AUTO RAIMBALDI;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.2657588, 43.70628356]}
PARC AUTO GARE DE NICE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26029485, 43.70364454]}
PARC AUTO MOZART;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26190962, 43.70053547]}
PARC AUTO GARAGE BORRIGLIONE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26195544, 43.71784224]}
PARC AUTO RUHL MERIDIEN;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.26596991, 43.6956485]}
PARC AUTO PLACE DU PALAIS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.27402474, 43.69631646]}
PARC AUTO ARENAS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.21390453, 43.66801265]}
PARC AUTO CENTRE COMMERCIAL NICE TNL;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.28535152, 43.70543908]}
