service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20191115,20201114
10,1,1,1,1,1,0,0,20191115,20201114
11,1,1,1,1,1,0,0,20191115,20201114
12,0,0,0,0,0,1,0,20191115,20201114
13,1,1,1,1,1,1,1,20191115,20201114
14,1,1,1,1,1,0,0,20191115,20201114
15,1,1,1,1,1,0,0,20191115,20201114
16,1,1,1,1,1,0,0,20191115,20201114
17,1,1,1,1,1,0,0,20191115,20201114
18,0,0,1,0,0,0,0,20191115,20201114
19,1,1,0,1,1,0,0,20191115,20201114
2,1,1,1,1,1,1,0,20191115,20201114
20,1,1,1,1,1,0,0,20191115,20201114
21,1,1,1,1,1,0,0,20191115,20201114
22,0,0,1,0,0,0,0,20191115,20201114
23,0,0,1,0,0,0,0,20191115,20201114
24,1,1,1,1,1,1,0,20191115,20201114
25,0,0,0,0,0,0,0,20191115,20201114
26,1,1,0,1,1,0,0,20191115,20201114
27,1,1,1,1,1,1,0,20191115,20201114
28,0,0,1,0,0,0,0,20191115,20201114
29,1,1,0,1,1,0,0,20191115,20201114
3,0,0,0,0,0,1,0,20191115,20201114
30,1,1,0,1,1,0,0,20191115,20200707
31,0,0,1,0,0,0,0,20191115,20200707
32,1,1,1,1,1,0,0,20191115,20201114
33,0,0,0,0,1,1,0,20191115,20201114
34,1,1,1,1,1,1,1,20191115,20201114
35,1,1,1,1,1,1,1,20191115,20201114
36,1,1,1,1,1,0,0,20191115,20201114
37,1,1,1,1,1,0,0,20191115,20201114
38,0,0,1,0,0,0,0,20191115,20201114
39,0,0,1,0,1,1,0,20191115,20201114
4,0,0,0,0,0,0,1,20191115,20201114
40,1,0,1,0,0,1,0,20191115,20201114
41,1,0,1,0,0,1,0,20191115,20201114
42,1,1,1,1,1,1,1,20191115,20201114
43,0,0,1,0,0,1,0,20191115,20201114
44,0,0,1,0,0,1,0,20191220,20201219
45,1,1,1,1,0,0,0,20191115,20201114
46,0,0,0,0,1,0,0,20191115,20201114
47,1,1,0,1,1,0,0,20191115,20201114
5,1,1,1,1,1,0,1,20191115,20201114
6,0,0,0,0,0,1,1,20191115,20201114
7,0,0,0,0,0,1,1,20191115,20201114
8,0,0,0,1,1,1,0,20191115,20201114
9,1,1,1,1,1,1,1,20191115,20201114
